KO00010	KO00020	KO00030	KO00040	KO00051	KO00052	KO00053	KO00061	KO00062	KO00071	KO00100	KO00120	KO00130	KO00140	KO00190	KO00195	KO00230	KO00240	KO00250	KO00260	KO00270	KO00280	KO00281	KO00290	KO00300	KO00310	KO00311	KO00312	KO00330	KO00340	KO00350	KO00351	KO00360	KO00361	KO00362	KO00380	KO00400	KO00430	KO00440	KO00450	KO00480	KO00500	KO00510	KO00511	KO00513	KO00520	KO00521	KO00522	KO00523	KO00531	KO00532	KO00534	KO00540	KO00550	KO00561	KO00562	KO00563	KO00564	KO00565	KO00590	KO00600	KO00601	KO00603	KO00620	KO00621	KO00622	KO00624	KO00625	KO00627	KO00630	KO00633	KO00640	KO00643	KO00650	KO00660	KO00670	KO00680	KO00710	KO00720	KO00730	KO00740	KO00750	KO00760	KO00770	KO00780	KO00785	KO00790	KO00791	KO00830	KO00860	KO00900	KO00903	KO00906	KO00908	KO00909	KO00910	KO00920	KO00930	KO00940	KO00941	KO00945	KO00960	KO00970	KO00983	KO00984	KO01040	KO01053	KO02010	KO02020	KO02030	KO02040	KO02060	KO03008	KO03010	KO03013	KO03015	KO03018	KO03020	KO03022	KO03030	KO03040	KO03050	KO03060	KO03070	KO03410	KO03420	KO03430	KO03440	KO03450	KO04010	KO04011	KO04012	KO04020	KO04064	KO04066	KO04070	KO04075	KO04080	KO04110	KO04111	KO04112	KO04113	KO04114	KO04120	KO04122	KO04130	KO04141	KO04142	KO04144	KO04145	KO04146	KO04151	KO04210	KO04260	KO04270	KO04310	KO04320	KO04330	KO04350	KO04360	KO04510	KO04514	KO04520	KO04530	KO04540	KO04610	KO04614	KO04621	KO04622	KO04626	KO04650	KO04666	KO04740	KO04810	KO04910	KO04940	KO04962	KO04970	KO04973	KO04974	KO04975	KO05010	KO05012	KO05014	KO05016	KO05020	KO05030	KO05032	KO05034	KO05100	KO05110	KO05111	KO05120	KO05130	KO05132	KO05134	KO05142	KO05143	KO05144	KO05146	KO05150	KO05200	KO05202	KO05203	KO05204	KO05215	KO05219	KO05322	KO05340	KO05410	KO00232	KO00512	KO00514	KO00591	KO00592	KO03320	KO04013	KO04060	KO04115	KO04140	KO04150	KO04340	KO04380	KO04512	KO04612	KO04630	KO04710	KO04742	KO04744	KO04972	KO04976	KO05145	KO05160	KO05162	KO05168	KO00904	KO04670	KO04745	KO05222	KO00460	KO00623	KO04950	KO04964	KO05133	KO04930
R5320_S21	11892	10343	6147	9972	12726	15331	343	7348	5	29	0	266	2542	310	15649	0	24532	11673	34106	23242	14342	6022	1537	9272	9894	116	39	3	14266	8982	1036	0	304	5	475	543	7251	1	111	827	1535	8714	900	1684	0	8868	8224	0	0	320	0	0	5008	9925	1327	54	0	3542	0	19	0	1	0	9813	0	0	1	3	12	2467	105	181	0	475	17	5420	1995	11	888	6145	3184	2567	6369	3274	3972	395	2004	42	59	7218	7022	0	0	1383	7	374	150	12	5928	1	0	81	43392	51	0	11	106	14536	10118	1722	913	1570	0	21873	492	1	15797	15489	0	12331	5	4	1785	12038	4191	10983	3422	10448	0	4	218	0	1	0	2547	901	2	3	3	0	9666	58	1	1	1584	0	38	2409	3	10	5222	1859	26	1	0	0	0	0	0	1	15	0	0	0	0	0	0	1	2	1682	0	0	0	0	78	451	4	1	0	1408	0	9	1	0	0	0	0	0	0	0	0	465	3671	0	5	2227	0	2	0	13	49	62	0	835	6	24	5	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5321_S22	12997	7484	6947	8535	10038	15891	339	6026	0	18	0	412	1734	214	13611	0	20232	10766	28383	18798	14769	5076	930	9898	9352	186	57	29	11943	7720	1155	0	1520	8	369	286	6517	12	340	993	1351	10702	509	1618	0	11412	6229	8	3	297	0	0	3404	9029	2897	409	0	3291	0	90	0	6	0	9761	0	0	0	4	30	2256	149	200	0	733	118	3823	2100	21	1574	4305	2621	1917	5302	3220	2714	250	1540	73	41	7727	6313	0	10	805	0	472	486	13	5280	6	0	73	38491	271	0	2	136	31414	12013	9847	6676	4239	0	20106	797	1	14052	13904	0	11629	8	0	1457	10630	3949	9776	3301	10017	0	1	173	0	5	0	2285	536	3	1	15	0	9615	78	0	6	2794	0	119	2215	0	5	3589	1810	12	0	0	0	0	1	0	0	5	0	1	0	0	0	3	11	6	1427	0	1	0	1	271	171	0	0	0	880	0	35	4	0	0	0	1	6	0	1	0	330	2802	0	13	1366	0	3	1	12	81	104	0	837	13	24	13	0	95	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5322_S23	13260	7134	7615	9626	10528	18107	356	6073	0	41	0	299	1218	109	13848	0	20691	11362	29766	19177	15603	4768	710	10129	9642	190	44	28	12193	7731	1161	0	1843	19	462	217	6705	10	365	1005	1182	11892	472	1649	0	12440	6546	2	5	231	0	0	2546	9096	3286	332	0	3330	0	76	0	2	0	9884	0	0	0	4	45	2258	43	184	0	969	151	3774	1864	17	1593	3808	2552	1959	5010	3124	2669	184	1459	71	18	8493	6051	0	12	881	0	354	548	11	6286	3	0	62	39212	310	0	0	139	37379	11793	12303	7869	4346	0	20161	873	0	14535	13952	2	11412	2	3	1334	10828	3872	9549	3595	10356	0	4	145	1	7	0	2195	604	0	2	0	0	10329	66	0	4	2993	0	70	1888	10	4	3295	1773	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	5	1406	0	5	0	0	366	121	1	0	0	827	0	32	3	0	0	0	0	5	0	0	0	242	2662	0	0	1269	0	1	1	14	30	100	0	1161	7	28	14	0	148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5323_S24	13294	8963	7652	10688	12176	18630	418	6884	0	12	4	473	2486	161	14169	1	23418	11686	32792	21300	14669	5065	1101	7841	9616	125	103	6	12133	8683	1369	1	583	52	491	236	6762	4	210	1169	1869	10084	555	1307	0	10484	7821	0	0	390	0	0	4086	9207	2407	137	1	4163	0	53	0	0	0	9707	0	0	1	0	164	2088	45	145	0	692	41	4624	2067	152	1254	5305	2446	2019	6134	3392	3298	425	1857	69	50	7073	6592	1	30	1214	0	469	257	12	6337	5	0	132	41533	106	0	7	73	22203	11151	2642	1643	6335	0	22595	807	1	15249	14086	0	13147	0	0	1705	11711	4194	10674	3683	11337	0	0	221	0	3	0	2744	818	1	1	1	0	10083	64	0	6	2443	0	88	2634	1	3	4103	1635	166	1	0	0	0	0	0	2	5	1	0	0	1	0	0	0	4	1711	0	0	1	0	116	145	0	0	0	1454	0	9	1	0	1	0	0	2	0	2	0	380	3319	0	10	1621	0	0	0	6	755	71	0	882	4	34	14	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
R5324_S25	14390	12294	7029	11868	14639	19246	347	8582	0	8	0	338	2793	183	17783	0	27293	13733	38802	25791	16068	6541	1683	9143	11193	101	74	14	15468	10804	874	1	631	5	591	392	8389	6	109	1078	2071	10813	910	1787	0	10970	9336	0	0	344	0	0	6083	11419	1974	118	0	4308	0	70	0	2	0	10795	0	0	0	4	12	2215	93	219	0	713	15	5926	2374	9	1366	6668	3249	2840	6928	4125	4206	463	2204	22	65	8273	7762	0	23	1445	0	733	261	2	7622	7	0	157	50929	195	0	8	139	17186	11623	2250	1279	1835	0	26101	679	0	18586	17371	1	14630	2	17	2023	13766	4901	12242	4074	12870	0	4	256	0	2	0	3086	649	0	0	0	0	11500	108	0	2	2077	0	61	3584	4	4	6126	1965	13	0	0	0	1	0	0	0	8	0	0	1	0	0	0	0	3	2010	0	0	0	1	158	316	0	0	0	1978	0	4	7	0	0	0	0	4	0	0	0	339	4489	0	17	2424	2	1	0	9	25	80	0	1117	3	98	6	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5325_S26	13580	9711	8028	11086	12267	17186	377	6862	0	21	0	400	2373	174	14338	0	25109	12077	33347	22083	15863	5864	1312	9297	10199	168	95	27	13339	8808	1410	0	879	22	466	246	7006	5	239	1053	1913	11038	665	1660	0	11654	7651	1	2	283	0	0	4170	10039	2222	274	0	4189	0	84	0	0	0	10804	0	0	1	2	105	1967	67	180	0	898	91	4863	2242	108	1487	5288	2665	2299	6491	3511	3011	351	1944	55	27	7168	7001	0	22	1165	1	509	469	9	5595	3	0	59	44023	231	0	8	72	26081	11872	5079	3234	5004	0	24313	729	0	16236	15472	0	13595	2	17	1651	12404	4341	11508	3889	11089	2	2	284	0	3	0	2954	762	0	2	4	2	10869	97	0	4	2699	0	83	2469	2	26	4440	1783	79	2	0	0	0	0	1	0	8	4	0	0	1	1	0	6	2	2190	0	1	0	0	244	199	0	0	0	1277	1	7	7	0	0	0	0	7	0	1	0	321	3132	0	3	1832	0	2	0	8	525	73	1	1013	10	37	4	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5326_S27	14571	7310	8462	11011	11273	19314	489	6857	0	29	1	307	1348	175	14955	0	22039	12030	31897	20307	16086	5403	841	10852	10540	174	46	36	12997	8471	1352	0	1938	7	481	236	7328	14	361	1080	1522	12650	525	2093	1	13397	7166	0	6	357	0	0	3037	9858	3813	538	0	3710	0	75	0	8	0	11001	0	0	5	6	62	2307	71	157	0	1089	61	3954	2097	28	1839	4512	2707	1946	5630	3488	2958	239	1774	91	15	8194	6896	1	8	866	0	340	422	20	6215	1	0	85	42490	264	0	0	151	39247	13013	12160	7690	4739	0	21000	786	4	15702	15285	0	12873	4	3	1479	11928	4151	10254	3882	10674	0	0	210	0	8	0	2511	680	2	6	1	1	11152	108	0	11	3154	0	70	2513	2	5	3408	2066	15	3	0	0	4	0	0	0	14	0	0	3	0	0	0	3	10	1572	0	5	0	0	336	44	2	0	0	914	0	17	1	0	0	0	1	11	0	0	0	322	3093	0	8	1264	0	3	0	11	51	145	0	1244	7	31	11	0	204	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5327_S28	14143	9447	8198	11983	12632	18330	398	6943	0	24	0	397	2084	65	15920	0	23445	12190	34088	21744	14065	6055	1191	8483	10659	205	44	48	13717	9075	1383	0	1550	13	422	375	6089	23	290	1108	1840	11874	629	2118	0	11926	7172	0	0	286	0	0	4216	10494	2921	265	0	3979	1	39	1	0	0	11001	0	1	2	11	43	2497	110	298	0	804	74	4448	2155	35	1499	4879	3108	2516	6346	3663	3429	273	1798	113	2	7085	6908	0	1	1185	0	498	264	17	5754	7	0	19	44912	153	0	1	84	29584	12693	8598	5587	4284	0	24202	893	1	16576	15811	1	13809	2	1	1617	12566	4696	11335	3761	10573	0	6	219	0	3	0	2802	542	3	1	2	0	10756	77	0	3	2881	0	71	2103	2	9	3935	1926	74	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	15	1680	0	0	0	0	170	113	3	0	0	668	0	3	12	1	0	0	0	2	0	1	0	419	3499	0	16	1824	1	1	1	6	222	155	0	1061	5	107	20	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5328_S29	12954	7238	7925	10449	11160	18351	465	5850	0	17	1	241	1560	320	14012	0	20568	11095	28786	18856	16112	5146	890	10250	9641	186	16	32	11880	7864	1212	0	1751	10	440	230	6761	6	299	1033	1393	11293	488	1615	0	12021	7341	0	1	236	2	0	3052	8750	3342	671	0	3492	0	56	0	2	0	9926	0	0	3	1	50	2201	103	129	0	873	102	3720	1935	24	1618	4332	2535	1773	5479	3213	2757	178	1469	124	5	8262	5938	0	4	808	0	429	378	19	6194	17	0	79	38155	332	0	3	159	35873	12425	9695	7296	4769	0	19978	845	2	14141	13784	0	11233	3	1	1354	10875	3810	9455	3254	9662	0	0	186	0	2	0	2299	589	9	4	0	1	9716	98	0	24	2844	0	82	2068	13	7	3382	1622	9	0	0	0	0	0	0	0	5	1	0	0	1	0	1	0	5	1472	0	2	0	1	342	147	0	0	0	874	0	3	2	0	0	0	0	4	0	1	2	259	2483	0	7	1184	0	4	2	11	22	88	1	1013	25	29	17	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5329_S30	15155	11311	7579	12529	14492	22191	452	8600	0	13	0	356	2588	258	17109	0	26313	13259	38672	25382	17611	7005	1525	10557	11185	113	88	25	14996	10550	961	0	1053	2	639	320	8497	5	222	971	1908	11151	771	2120	1	11670	9414	1	2	602	0	0	5371	10701	2208	258	0	4571	0	38	0	1	0	10969	0	0	1	1	30	2194	44	188	2	664	46	5576	2239	11	1281	6899	3206	2664	6876	4273	4269	292	2498	55	81	9841	7773	0	25	1335	2	549	364	13	7738	1	1	114	46969	245	0	0	138	21641	12181	3962	2914	3311	0	24293	785	0	17924	16570	0	13611	3	2	2162	13228	4470	11291	3945	12688	0	0	223	0	1	0	2656	923	0	4	1	0	11515	123	0	5	2497	0	37	4032	2	11	5490	1986	24	1	0	0	0	0	0	0	3	0	0	2	2	0	0	5	1	1956	0	0	0	7	175	178	0	0	0	1811	0	8	0	1	0	0	0	1	0	0	0	428	4157	0	9	2147	1	0	0	5	50	61	0	1000	3	96	2	1	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5330_S31	15489	9120	8981	9932	12029	17806	285	7331	4	31	0	570	1887	215	16152	0	25621	13472	35802	22581	17552	6092	1098	11253	11557	308	43	40	14043	8589	1491	0	1880	18	505	318	8232	13	561	1106	1664	13613	704	2424	1	14092	7817	2	1	386	0	0	4351	11119	2733	388	0	4354	0	87	0	5	0	11979	0	0	0	8	47	2360	132	242	1	1351	98	4366	2386	36	1860	5057	3015	2089	6648	3908	2994	328	1638	86	17	7534	7472	0	19	1059	15	473	1134	5	6476	15	0	78	49078	238	0	15	165	38188	14295	12305	7892	2832	0	25694	868	5	17541	17527	2	14718	3	7	1704	12831	5005	12475	4388	12491	0	8	230	0	8	0	3314	711	1	0	4	4	12269	107	0	5	3441	0	91	3355	7	13	4486	2240	30	0	0	1	1	0	0	0	12	0	0	7	3	0	1	10	25	2032	0	5	0	0	515	203	1	0	0	1129	0	75	2	0	4	0	3	4	0	3	0	312	3473	0	40	1591	0	2	1	10	94	91	2	1185	4	38	9	1	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
R5331_S32	15048	6454	9644	10539	10366	18079	454	6066	2	27	4	500	1114	206	13463	0	21955	11806	30854	19801	16827	5640	657	11605	10608	245	33	65	12272	8242	1832	0	1891	13	469	203	7272	31	502	1049	1239	13060	455	2072	2	14026	6844	7	7	211	0	0	2522	9663	3339	624	0	3761	0	99	3	1	0	11193	0	1	11	7	68	2145	104	167	1	1163	107	3365	2400	40	1930	4087	2522	1722	5756	3380	2292	205	1315	155	14	8638	6673	0	3	726	0	421	768	35	6322	14	1	76	41131	505	2	6	105	45807	14505	12911	9407	5190	0	21739	967	4	15187	14720	3	12978	6	5	1275	11598	4361	10336	3765	10800	1	9	180	1	5	2	2569	523	7	12	13	4	11183	195	1	13	3943	0	60	2227	12	19	3118	1890	13	6	2	0	1	1	0	8	18	1	0	5	8	0	0	7	21	1660	0	1	1	4	489	85	1	0	2	766	1	47	2	2	1	0	0	4	0	0	2	216	2879	1	15	940	0	3	1	12	51	123	0	1122	19	13	23	2	165	2	0	1	1	0	0	0	3	0	0	0	0	1	1	2	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
R5332_S33	15992	11379	8386	11581	13887	20913	393	8055	0	19	2	405	2476	171	18061	1	28151	14267	38397	25074	18065	6665	1416	10368	11837	150	104	20	15118	10135	1176	0	1363	5	621	365	8373	28	262	1155	1929	12162	720	2260	0	13333	9016	0	1	482	0	0	5208	11221	2713	317	0	4199	0	90	1	3	0	11399	0	0	1	6	48	2269	136	279	0	884	79	5562	2508	12	1745	6116	3070	2584	7152	4108	3841	454	2108	82	52	8681	7874	0	0	1281	0	496	400	11	7337	4	0	110	50929	280	0	3	75	29560	13489	6358	4536	3302	0	27522	839	2	18359	18299	0	15206	5	9	2038	14007	5200	12880	4237	13254	0	3	291	0	3	0	3080	873	5	2	3	5	11921	109	0	6	2942	0	99	3801	3	8	5353	2187	19	2	0	1	1	0	0	0	4	0	2	1	0	0	4	3	7	2177	1	0	0	5	368	244	3	0	0	1661	0	11	4	1	1	0	0	2	0	0	0	308	4049	0	17	2447	2	4	0	8	96	179	0	1159	11	69	8	0	118	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5333_S34	11066	7871	5418	7384	9282	12194	190	5627	0	10	0	360	1666	170	12382	0	19056	9446	25783	16879	11711	4624	953	6637	8179	161	47	13	10295	6691	863	0	825	3	411	302	5603	4	319	780	1279	8286	506	1326	1	8394	5947	0	0	289	0	0	3490	8044	1592	232	0	3027	0	102	0	0	0	8141	0	0	3	1	33	1656	81	166	0	718	48	3644	1727	7	1203	4289	2191	1732	4875	2776	2423	262	1524	62	31	5612	5627	1	4	929	0	340	416	19	4741	10	0	60	35371	132	0	4	38	18184	9237	3814	2445	1972	0	18916	536	2	12620	13165	0	10488	1	3	1315	9585	3340	8969	3133	8749	0	2	246	0	2	0	2285	466	0	2	1	1	8249	70	0	5	1970	0	81	2485	5	5	3590	1654	8	2	0	0	0	0	0	2	7	0	0	0	3	1	2	2	2	1513	0	1	0	0	227	242	0	0	0	1076	0	3	2	0	1	0	0	0	0	1	1	180	2704	0	32	1583	2	1	0	20	44	130	0	746	7	27	10	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5334_S35	14683	10597	7419	10900	12862	17917	348	7535	0	7	1	430	2730	156	16682	0	25721	12997	36719	23344	16030	6107	1434	9443	11002	166	38	17	14121	9336	985	0	974	4	549	395	8087	7	385	994	1723	10925	819	1659	1	11003	8745	0	0	410	2	0	4959	10955	2236	152	0	3984	0	100	0	1	0	10448	0	0	1	3	18	2360	109	277	1	935	46	5260	2114	5	1302	6143	3168	2481	6758	4017	3662	396	2323	63	55	8307	7485	1	22	1281	0	480	430	20	6838	4	0	120	47114	141	0	4	49	22507	12110	4419	2781	3069	0	25566	744	0	17645	16684	0	13792	1	0	2078	13533	4337	11745	4074	12570	0	0	278	0	4	0	2762	721	0	2	1	10	11698	103	0	5	2445	0	75	3275	7	2	4967	2178	4	1	0	0	1	0	0	2	6	0	1	1	2	0	0	2	2	2046	0	0	0	0	218	361	0	0	0	1618	0	20	1	0	0	0	0	2	1	4	0	295	3800	0	26	2019	1	0	1	15	41	117	2	1159	7	80	18	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5335_S36	14165	7346	8134	9420	10800	17610	550	6067	0	39	0	443	1420	194	13607	0	21642	11588	30890	19413	15816	4999	778	9611	9660	287	65	30	11970	8199	1197	1	1561	5	479	263	7324	16	554	950	1404	11449	517	2063	2	12501	7009	0	1	261	0	0	2996	9380	2946	382	0	3271	0	67	0	9	0	10176	0	0	16	0	28	1913	109	147	0	1158	74	3663	1848	21	1882	4049	2288	1758	5522	2956	2572	241	1610	123	49	7982	6305	0	6	965	3	330	589	22	6577	13	0	100	39726	362	0	5	172	38882	12890	12063	7602	3764	0	21512	843	0	15044	14745	0	11970	3	3	1297	10965	4115	10175	3830	10689	0	0	190	0	2	0	2402	596	3	4	1	0	11107	104	0	3	3017	0	95	2570	3	6	3792	1728	11	2	0	1	0	0	0	0	6	0	1	0	0	0	0	8	8	1569	0	1	0	2	411	218	4	0	0	990	0	11	3	0	0	0	0	0	1	2	0	189	2833	0	44	1166	0	3	1	50	25	88	0	1143	15	26	20	1	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
R5336_S37	13457	9411	7126	9845	11275	17073	298	7048	1	6	0	381	2126	250	15300	0	23462	11760	32130	20982	14029	5850	1260	8266	9337	132	100	17	12773	8535	1146	0	1150	16	555	373	7442	7	296	1082	1534	10775	663	1889	1	10665	7506	0	0	572	0	0	4870	9857	2022	284	0	3762	0	81	0	0	0	9718	0	0	1	2	47	2227	62	177	0	996	37	4620	2197	50	1339	5683	2740	2229	6721	3783	3418	416	2094	41	53	7525	6692	1	24	1232	5	480	745	2	7202	9	0	73	41157	217	0	5	78	23511	11246	4879	3368	2636	0	22058	696	4	15682	14856	1	12938	3	3	1956	11780	4237	11265	3819	11429	0	2	205	0	3	0	2479	893	0	1	0	1	10769	71	0	3	2557	0	67	4238	6	2	4542	2058	19	0	0	0	0	0	1	0	5	0	0	0	0	0	0	10	6	1522	0	2	0	1	293	301	0	0	0	1502	0	13	3	1	0	0	0	2	0	1	0	354	3489	0	18	1615	1	1	0	14	147	80	0	943	11	43	12	0	56	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5337_S38	14512	7692	8631	10124	10747	16360	423	6038	0	23	0	367	1496	147	13773	0	23489	12261	31694	20269	16714	5268	847	10570	10443	242	40	22	12794	7973	1462	0	1605	18	473	278	7247	12	481	986	1423	12378	480	1603	1	13358	6725	1	0	269	0	0	3175	9787	3103	698	0	3692	0	127	0	1	0	10119	0	0	0	7	46	2128	127	219	0	1334	134	3836	2515	24	1860	4237	2198	1756	5834	3227	2587	229	1709	121	23	8024	6610	0	1	899	2	394	556	18	6382	16	0	53	42140	363	0	9	64	40529	13477	10847	7607	3911	0	23157	804	3	15551	15889	1	13417	5	10	1345	12097	4506	10873	4013	11269	0	0	189	0	5	0	2641	619	2	1	0	1	11408	91	0	20	3711	0	100	2414	0	9	3496	1851	11	3	0	0	0	0	0	0	6	0	0	1	1	0	0	4	6	1849	0	4	0	1	454	162	2	0	0	947	0	19	5	0	0	0	2	6	1	1	0	271	2846	1	32	1284	0	3	0	21	29	147	0	1206	15	18	20	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
R5338_S39	16316	9613	9249	11547	13497	21081	466	7849	0	30	6	438	2064	212	17155	0	26888	14210	38013	24418	18680	6494	1183	10962	11608	230	67	34	15389	10094	1486	0	1659	19	537	458	8443	25	383	1189	1720	13688	726	2147	0	13934	8591	0	0	281	0	0	4289	11313	3388	571	0	4290	0	103	0	0	0	11991	0	0	5	1	55	2632	71	187	0	1190	175	4772	2581	23	2054	5547	2904	2353	7047	3939	3474	388	2210	156	52	9075	7835	0	18	1252	1	522	560	12	8056	15	0	129	49571	276	1	1	119	38301	14699	10204	7195	3910	0	26392	868	2	18403	18577	1	14780	0	1	1870	14285	5176	12754	4540	13406	0	1	210	0	15	0	2985	738	0	2	2	14	12549	101	0	14	3564	0	73	3012	6	14	4675	2265	20	1	1	2	0	0	0	0	6	0	0	0	1	1	0	5	13	1970	0	1	2	2	363	318	3	0	0	1318	2	19	2	1	0	0	1	6	2	8	0	354	3689	0	21	1762	1	2	0	17	60	126	0	1418	10	49	26	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5339_S40	13696	7069	8215	10172	10963	18338	446	6165	0	19	0	338	1359	108	14192	0	20636	11525	29515	19251	15402	5286	831	10612	9512	183	67	42	12064	8036	1452	0	1945	35	387	244	6777	15	372	1022	1178	11542	565	1639	0	13179	6402	1	2	258	0	0	2954	9741	3316	471	0	3538	0	73	0	3	0	10365	0	0	4	4	91	2027	84	192	0	1016	95	3338	2031	25	1694	4080	2615	2063	5258	3570	2593	211	1718	120	27	7898	6184	0	4	772	0	396	403	15	7123	23	0	78	38612	443	0	4	175	38299	13127	10361	8090	4300	0	20539	753	2	14465	14483	0	12147	4	0	1489	11276	3998	10094	3542	10446	0	5	252	0	0	0	2540	583	7	1	0	2	10095	66	0	2	3286	0	58	2516	11	4	3145	1845	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	17	1482	0	1	0	0	243	137	1	0	0	875	0	3	2	1	0	0	1	0	0	0	1	251	2525	0	9	1362	0	0	0	13	41	110	0	1030	12	21	18	0	148	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5340_S41	13577	11354	7049	12283	14214	17813	382	7982	0	8	0	341	2432	269	16214	0	25436	12399	35035	24065	14715	6683	1621	9087	11088	123	75	13	13973	9758	1012	0	820	6	357	328	6720	3	203	1046	2033	10288	804	2014	0	11008	8787	1	0	365	0	0	5154	10652	1724	96	0	3928	0	21	0	3	0	11018	0	0	1	0	25	2320	104	256	0	544	20	5329	2361	13	1300	5958	3343	2914	6719	4159	3844	383	2000	41	3	7750	7551	0	2	1258	0	512	329	6	5683	2	0	30	47856	284	0	3	49	16676	11263	3290	1846	2235	1	25651	761	4	19020	16430	0	13734	3	3	1770	12972	4566	11996	3761	10744	0	1	254	0	2	0	2867	656	1	2	1	0	10516	114	0	2	2060	0	45	2873	1	2	4958	1906	13	1	0	0	0	1	0	0	5	0	1	1	0	0	1	1	4	1842	0	0	1	1	138	173	0	0	0	1250	0	6	2	1	0	0	0	1	0	0	0	332	3236	0	11	2494	1	3	0	5	31	97	0	722	3	114	3	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5341_S42	14112	11438	7362	12073	14392	19891	364	8375	0	9	0	393	2797	212	17468	1	27502	13192	38816	24933	16114	7025	1631	10084	11610	142	38	10	14501	10425	938	3	758	3	574	345	8280	6	153	1099	1976	10539	720	2124	0	11354	9293	0	1	476	0	0	5484	10761	2204	119	0	4471	0	51	0	0	0	11967	0	0	1	4	31	2499	77	227	0	492	42	5842	2428	9	1323	6865	3156	2497	6922	4277	4153	314	2085	74	59	8864	7778	1	41	1415	0	617	199	6	6658	6	0	94	49117	112	0	8	85	19175	12202	2787	1816	2536	0	26184	603	3	18970	16913	0	13998	1	4	1945	13463	4781	12314	3958	12551	0	5	333	0	1	0	3177	866	0	2	0	0	10916	100	0	5	2139	0	87	3320	6	3	5585	2105	33	1	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	2040	0	0	0	0	191	196	0	0	0	1752	0	11	5	0	0	0	0	2	0	1	0	411	4135	0	9	2457	0	0	0	12	79	107	0	1024	4	75	3	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5342_S43	15097	9204	8597	9659	10706	16951	263	6735	0	12	0	623	1888	197	15820	0	25415	13231	32233	21388	16227	5858	1044	8875	11523	173	56	19	12909	8259	1506	1	1587	15	407	389	6796	5	347	1065	1713	12687	709	1783	0	12847	7021	0	4	174	0	0	4004	11841	2850	282	0	3856	0	89	0	3	0	10680	0	0	2	4	63	2129	63	166	0	1353	109	4205	2463	33	1812	5062	3173	2148	6574	3719	2692	256	1802	66	14	6255	7238	0	22	1120	1	341	624	23	5802	1	1	40	48472	348	0	1	146	32675	13542	10850	7080	4185	0	25617	869	1	16260	16875	0	14306	11	0	1535	13131	4983	11941	4160	12052	0	1	187	0	2	0	3348	704	1	0	1	0	11857	136	0	8	3067	0	115	2310	2	13	4276	1881	19	2	0	0	0	0	0	0	4	0	3	0	0	0	0	3	12	1895	0	0	0	0	292	284	0	0	0	890	0	18	1	4	2	0	0	4	0	2	0	248	3565	0	10	1758	3	2	1	9	329	173	0	1150	11	30	10	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
