KO00010	KO00020	KO00030	KO00040	KO00051	KO00052	KO00053	KO00061	KO00062	KO00071	KO00100	KO00120	KO00130	KO00140	KO00190	KO00195	KO00230	KO00240	KO00250	KO00260	KO00270	KO00280	KO00281	KO00290	KO00300	KO00310	KO00311	KO00312	KO00330	KO00340	KO00350	KO00351	KO00360	KO00361	KO00362	KO00380	KO00400	KO00430	KO00440	KO00450	KO00480	KO00500	KO00510	KO00511	KO00513	KO00520	KO00521	KO00522	KO00523	KO00531	KO00532	KO00534	KO00540	KO00550	KO00561	KO00562	KO00563	KO00564	KO00565	KO00590	KO00600	KO00601	KO00603	KO00620	KO00621	KO00622	KO00624	KO00625	KO00627	KO00630	KO00633	KO00640	KO00643	KO00650	KO00660	KO00670	KO00680	KO00710	KO00720	KO00730	KO00740	KO00750	KO00760	KO00770	KO00780	KO00785	KO00790	KO00791	KO00830	KO00860	KO00900	KO00903	KO00906	KO00908	KO00909	KO00910	KO00920	KO00930	KO00940	KO00941	KO00945	KO00960	KO00970	KO00983	KO00984	KO01040	KO01053	KO02010	KO02020	KO02030	KO02040	KO02060	KO03008	KO03010	KO03013	KO03015	KO03018	KO03020	KO03022	KO03030	KO03040	KO03050	KO03060	KO03070	KO03410	KO03420	KO03430	KO03440	KO03450	KO04010	KO04011	KO04012	KO04020	KO04064	KO04066	KO04070	KO04075	KO04080	KO04110	KO04111	KO04112	KO04113	KO04114	KO04120	KO04122	KO04130	KO04141	KO04142	KO04144	KO04145	KO04146	KO04151	KO04210	KO04260	KO04270	KO04310	KO04320	KO04330	KO04350	KO04360	KO04510	KO04514	KO04520	KO04530	KO04540	KO04610	KO04614	KO04621	KO04622	KO04626	KO04650	KO04666	KO04740	KO04810	KO04910	KO04940	KO04962	KO04970	KO04973	KO04974	KO04975	KO05010	KO05012	KO05014	KO05016	KO05020	KO05030	KO05032	KO05034	KO05100	KO05110	KO05111	KO05120	KO05130	KO05132	KO05134	KO05142	KO05143	KO05144	KO05146	KO05150	KO05200	KO05202	KO05203	KO05204	KO05215	KO05219	KO05322	KO05340	KO05410	KO00232	KO00512	KO00514	KO00591	KO00592	KO03320	KO04013	KO04060	KO04115	KO04140	KO04150	KO04340	KO04380	KO04512	KO04612	KO04630	KO04710	KO04742	KO04744	KO04972	KO04976	KO05145	KO05160	KO05162	KO05168	KO00904	KO04670	KO04745	KO05222	KO00460	KO00623	KO04950	KO04964	KO05133	KO04930
R5343_S44	14161	5702	8732	8201	9258	16293	573	5271	0	47	0	535	1036	184	12282	1	20998	11056	28123	18276	17133	4665	593	10379	10258	246	17	54	11763	7487	1542	0	1871	6	470	164	7068	8	602	932	1215	12808	466	1925	0	13825	5957	3	11	130	0	0	2312	9377	2846	373	0	3454	0	95	0	7	0	10858	0	0	1	4	52	1843	160	165	0	1301	207	2782	2230	13	1999	3815	2305	1630	5331	2898	2085	114	1162	91	15	9132	6564	1	0	734	3	514	816	60	5454	1	0	34	38127	441	0	1	138	44811	14082	16446	10009	4316	0	20635	855	1	14461	14319	1	12036	14	5	1109	10831	3859	10177	3824	10368	0	1	140	0	4	0	2357	572	0	3	5	0	11230	118	0	0	3797	0	64	1903	5	14	2997	1823	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	1	7	1360	0	0	1	3	618	115	1	0	0	463	0	33	0	3	0	0	0	7	0	0	0	187	2469	0	43	937	0	7	0	56	23	147	0	1159	27	12	20	1	148	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5344_S45	13764	11486	6724	10736	13688	17866	318	7790	0	9	0	424	2888	204	17011	0	26611	13079	38149	24816	15395	6698	1613	9206	10373	99	33	10	14494	9863	1038	0	626	0	554	533	8100	5	179	1006	1767	9851	821	1497	0	10199	8681	0	0	298	0	0	5255	10822	1737	87	0	4331	1	53	0	1	0	10610	0	0	0	0	8	2583	76	223	1	759	20	5838	2144	10	1220	7066	3113	2730	7090	3959	4337	286	2317	40	20	7853	7434	0	2	1429	1	560	133	2	6858	2	0	112	48153	71	0	16	84	16764	11331	2025	1279	2821	0	26029	571	1	18050	16929	0	13325	0	3	2015	13503	4723	11618	3740	12131	0	2	255	0	2	0	2961	825	3	0	0	2	10620	107	0	12	1906	0	71	2921	1	2	6025	1999	21	0	0	0	0	0	0	0	9	1	0	1	0	0	0	2	0	1919	0	1	2	0	100	594	0	0	0	1637	0	128	0	2	1	0	0	0	0	1	0	351	3982	0	17	2309	0	0	0	8	63	61	1	895	3	20	14	0	26	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
R5345_S46	15151	11469	8402	12116	15162	19855	426	8515	1	26	1	532	2906	198	18098	0	28138	13978	39259	26260	17861	7151	1794	10495	11620	184	70	17	16055	10202	1356	1	1139	7	486	316	8313	24	225	1276	2039	11582	770	2542	0	13339	8966	1	0	488	0	0	5273	11895	2418	257	0	4459	1	41	0	0	0	12641	0	0	1	6	79	2590	121	243	0	783	72	5289	2742	64	1572	6885	3372	2735	7097	4143	4207	393	2321	84	26	8489	8168	0	16	1505	9	487	495	22	6244	1	0	68	52390	237	0	16	79	25192	13203	4766	3210	3948	0	27483	835	0	19584	18266	1	14944	2	1	1871	14162	5381	13673	4207	12867	0	0	323	1	1	0	3285	815	3	3	0	0	12263	102	1	2	2844	0	66	3923	20	4	5143	2142	51	1	0	1	0	0	0	2	3	0	1	0	2	0	0	6	5	2161	0	0	1	0	206	240	2	0	0	1418	0	10	10	0	0	0	2	0	0	0	0	377	3638	0	10	2329	0	2	1	8	318	115	0	1015	2	70	5	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5346_S47	15692	7210	9922	12205	11068	20450	442	6919	6	64	0	395	1473	114	13693	0	21869	12052	32737	20051	15570	5185	835	10677	10155	215	52	110	12863	8548	1445	0	2120	15	619	226	8038	23	753	1288	1690	13589	686	2522	1	14211	7231	0	0	286	0	0	3346	10155	2716	406	0	3683	0	77	0	0	0	10270	0	0	0	0	42	2523	47	118	0	1512	46	3704	1839	13	1754	3989	1943	1618	5952	2772	2728	232	1568	106	8	7385	7032	0	6	854	0	367	275	45	8345	5	0	64	40964	167	0	4	49	38712	13339	15077	9173	3765	0	20968	830	2	15472	14836	0	12659	5	6	1509	12128	4249	10034	3787	10774	0	0	188	0	3	0	2620	637	1	6	1	0	11325	108	0	3	3072	0	23	2240	1	5	3585	2098	14	3	0	0	0	0	0	2	6	0	0	0	0	1	1	0	0	1572	0	1	0	1	516	78	3	0	0	913	0	60	0	0	0	0	0	7	0	0	0	314	2822	0	10	1246	1	1	0	10	56	94	0	1302	6	56	2	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R5347_S48	15030	9130	8194	9269	11102	18286	270	7035	0	21	0	522	2215	309	16934	2	24326	12423	31321	20658	14777	5831	1148	7989	10813	266	173	30	12800	8229	1222	1	1909	17	371	424	6176	7	390	1154	1879	11616	692	2729	5	12485	7118	0	0	527	1	0	4383	10833	3510	186	1	3349	0	68	0	1	0	11162	0	0	1	13	57	2373	175	290	1	800	31	4156	2093	78	1669	5612	3235	2409	6170	4129	3205	386	1952	46	4	8663	7370	0	5	996	0	627	686	5	4568	3	0	25	45209	277	0	20	49	28958	12975	8797	5360	5326	0	24160	882	19	16470	16422	0	13993	2	2	1636	12656	4404	11485	3855	10962	0	0	305	0	2	1	2864	782	2	4	2	0	11312	110	1	0	3018	1	110	4605	5	14	4426	2035	57	2	0	0	0	1	0	0	2	0	1	0	0	0	0	23	1	1851	0	0	0	2	378	225	1	0	0	1189	0	20	20	0	0	0	0	1	0	0	0	359	3634	0	15	1801	1	2	3	10	283	189	7	1027	14	92	3	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5348_S49	13635	9494	7738	10434	11824	17866	500	7099	0	15	0	327	2088	123	16067	0	24097	11996	33331	21487	14861	6019	1254	8344	10617	101	27	25	13038	8713	1272	1	1041	14	510	459	6555	28	242	1008	1612	10905	678	1620	0	11116	7480	0	5	332	0	0	4372	9876	2509	219	0	4119	0	28	0	4	0	10844	0	0	2	0	69	2380	115	203	0	702	29	4637	2159	33	1355	5416	2793	2200	6024	3741	3575	297	1944	125	21	7758	6957	0	12	1273	1	532	335	46	6052	2	0	62	44250	186	0	1	114	25530	11838	5345	3815	3391	0	23098	779	3	16708	15972	0	13319	2	4	1669	12140	4575	11575	3833	11400	1	1	227	0	4	0	2852	734	2	3	3	3	10935	136	0	1	2559	0	46	2352	4	8	4287	2059	22	0	0	2	0	0	0	0	3	1	2	0	0	0	0	0	3	1802	0	1	0	0	209	284	1	0	0	1065	1	15	5	0	1	0	0	2	1	1	0	345	3468	0	27	1965	0	4	0	8	130	60	0	788	5	116	11	0	99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R5349_S1	13250	9966	6970	9406	12144	17834	359	7180	0	7	0	329	2802	133	15367	0	24922	11756	33733	20954	14411	5372	1252	7650	9731	88	102	11	12223	8563	1134	0	532	46	496	376	6254	3	135	1025	1854	10264	716	1200	1	9751	7958	0	0	254	0	0	4109	10674	2048	69	0	3916	1	28	2	0	0	9929	0	0	1	2	70	2407	61	216	1	520	42	5448	1934	130	1276	5554	2451	2268	6515	3573	3526	423	1868	49	53	6791	6880	0	18	1184	0	431	191	5	5045	2	1	58	44746	98	0	2	64	18455	10577	1721	923	6161	0	23129	627	16	15724	14682	0	13024	0	0	1871	12430	4080	11027	3545	11298	0	1	187	0	0	0	2726	689	0	1	0	1	9992	86	0	1	2114	0	56	2571	2	11	4513	1591	91	1	0	1	1	0	0	0	2	0	0	0	0	0	1	2	1	1777	0	0	2	0	51	299	0	0	0	1250	0	18	0	0	0	0	0	0	0	0	0	412	3598	1	12	2028	1	0	0	3	563	73	0	879	6	90	2	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
R5350_S2	11600	8789	5795	8027	10547	14492	273	5963	0	7	0	322	2074	129	12721	0	20466	10467	27900	18283	11759	4718	1257	5945	8659	96	61	3	11129	7272	872	0	531	1	412	353	5383	6	144	786	1482	8304	661	1090	0	7849	6851	0	0	207	0	0	3862	8514	1601	182	0	3181	0	24	0	1	0	7845	0	0	0	1	29	1885	42	109	0	690	39	4406	1701	21	1047	4919	2311	2210	5326	3000	3170	240	1846	52	30	5626	5614	0	15	868	2	362	227	6	5238	2	0	87	37714	129	0	19	67	16034	9095	2684	1630	2454	0	19221	518	0	13291	13299	0	11014	3	25	1442	10418	3663	8923	2925	9780	0	0	177	0	1	0	2136	540	0	2	1	0	8510	75	0	4	1802	0	52	1918	1	5	3956	1430	25	2	0	1	0	0	0	0	3	2	1	0	0	0	1	6	3	1514	0	0	0	0	94	378	0	0	0	1109	0	5	1	1	1	0	0	2	0	0	0	275	3330	0	12	1750	2	1	0	5	123	63	0	709	4	30	3	0	55	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5351_S3	12082	8867	5991	7932	10929	15255	274	6529	3	31	0	387	2234	195	14140	0	21918	10857	31225	19597	14057	5185	1285	7848	9263	168	37	11	12379	7725	855	0	799	2	503	281	6406	8	174	919	1462	9674	674	1584	0	9461	7276	0	0	287	0	0	4245	9356	1839	139	0	3486	0	37	0	1	0	8981	0	0	0	3	30	2004	124	178	0	627	31	4632	1898	19	1240	5388	2721	2251	5926	3408	3654	314	1721	51	30	7125	6462	0	4	1183	21	394	407	7	5294	4	0	93	39776	131	0	7	141	18575	10575	3988	2415	2870	0	20878	489	1	14670	13843	0	11698	5	0	1627	11144	3881	10240	3269	11005	0	1	196	0	2	0	2464	582	3	1	1	2	9205	84	0	0	2174	0	39	2801	4	2	4703	1877	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	3	1562	0	0	0	1	142	335	1	0	1	1150	0	18	0	0	0	1	2	2	0	0	0	264	3199	0	17	1740	2	2	0	5	82	79	0	804	3	25	5	0	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5352_S4	11770	9374	5904	8565	11436	15594	288	6486	0	7	0	360	2227	128	14737	0	22178	10942	30937	20206	12790	5688	1385	7009	9215	86	80	3	12249	8357	832	1	597	7	526	439	6020	2	159	890	1599	8864	728	1545	0	8785	7730	0	0	254	0	0	4422	8996	1626	129	0	3416	0	43	0	0	0	9166	0	0	2	0	28	2008	50	173	0	624	31	4660	1923	9	1095	5714	2544	2084	5860	3351	3575	314	1905	51	43	7137	6247	1	14	1127	0	419	206	8	5335	2	0	87	40732	105	0	3	72	16313	9627	2583	1446	2543	0	21006	557	0	14518	14075	0	11320	2	2	1645	11152	3953	9581	3378	10750	0	4	210	0	2	0	2662	680	0	1	1	0	8727	77	0	2	1794	0	36	2375	1	4	4808	1687	23	0	0	0	1	0	0	1	5	0	1	4	1	0	1	5	3	1525	0	0	0	1	79	329	0	0	0	1272	0	7	2	0	1	0	0	0	0	0	0	290	3446	0	8	2075	1	1	0	9	32	88	0	691	2	85	8	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
R5353_S5	14124	9910	7218	10359	12221	17483	316	7226	0	16	1	462	2520	174	16203	0	25339	12015	35925	23361	15195	5983	1323	9376	10705	148	46	15	14243	9987	1271	0	710	9	511	571	7943	11	291	948	1681	10619	830	1711	0	9881	7867	0	0	299	0	0	4830	10195	2146	157	0	4422	0	104	0	0	0	10469	0	1	0	1	48	2741	57	187	0	589	48	5243	2386	33	1431	6139	3102	2302	6673	3621	3840	283	2357	69	66	7462	7220	0	30	1298	2	517	317	18	6781	9	0	95	44364	143	0	28	95	21731	11676	3132	1865	4279	0	23502	688	1	16736	15904	0	12866	4	2	1877	12365	4550	11055	3615	11267	0	0	257	0	3	0	2646	966	0	2	1	2	10268	97	0	12	2237	0	72	2611	1	2	5104	2068	16	7	0	1	0	0	0	0	2	0	2	2	1	0	0	1	1	1707	0	0	0	0	111	467	0	0	0	1645	0	6	0	0	0	1	0	1	0	0	0	384	3816	0	7	2051	20	1	0	6	127	166	1	1102	5	77	3	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5354_S6	12544	9215	6911	9002	11068	15233	270	6630	0	12	0	534	2563	373	13949	0	22598	11444	30663	19599	11922	5657	1286	7060	9562	291	137	6	11516	8349	1224	0	1254	3	323	413	6297	14	623	900	1751	9164	775	2051	10	9886	6891	0	1	607	0	0	4427	9439	1775	135	0	3505	1	83	0	0	0	9828	0	0	3	1	36	1963	171	192	1	873	23	4306	2267	39	1225	5042	2745	2282	5971	3573	3192	399	2192	39	28	6438	6497	0	5	1147	3	442	609	12	5591	4	0	45	39291	194	0	1	33	20211	10922	2360	1523	2472	0	21714	716	0	14886	14788	1	12531	2	9	1676	10753	4082	10293	3508	10086	0	4	277	0	4	0	2718	753	0	0	0	0	9960	118	0	2	2308	0	145	4395	1	2	4450	1683	53	3	0	0	0	0	0	0	6	0	0	14	0	0	0	61	1	1678	0	0	0	0	237	488	0	0	0	1653	0	6	3	0	0	0	0	2	0	0	0	354	2867	0	63	1807	0	1	2	31	235	91	0	803	11	57	18	1	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5355_S7	11788	6542	7011	8339	9780	16115	435	5566	0	16	1	262	1400	95	12501	0	19199	10034	27117	17226	13917	4252	749	8992	8561	121	33	25	10602	7421	1078	0	1326	6	464	201	6393	16	340	841	1262	9791	457	1357	0	10973	6526	0	0	215	0	0	3030	7977	2520	294	0	3197	0	44	0	6	0	8523	0	0	0	8	24	1972	110	181	0	797	60	3399	1856	19	1365	4264	2182	1683	4719	2979	2646	197	1608	43	36	7458	5636	0	1	758	0	455	290	19	5373	7	0	76	34603	229	0	4	113	30359	10529	8315	5505	4127	0	17567	722	2	12995	12177	0	10128	1	1	1397	9845	3487	8151	3216	9715	0	1	143	0	0	0	2247	539	0	5	1	1	9064	99	0	6	2644	0	59	2176	4	5	3323	1566	12	0	0	1	0	0	0	0	4	2	0	6	2	0	1	3	14	1280	1	1	1	1	267	117	0	0	0	921	0	16	5	0	0	0	0	3	0	1	0	294	2468	0	9	1092	1	2	0	12	64	64	0	967	8	26	21	0	105	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5356_S8	16677	9068	11698	13318	14625	20406	971	7264	44	136	0	626	3200	1047	17818	0	24065	11050	30214	22485	13977	6833	1171	10265	11552	1005	124	22	13095	8264	1944	0	2470	47	578	633	8616	5	835	1227	1781	10900	729	3203	11	12475	7144	0	0	731	0	0	5181	10662	3852	1166	0	4665	0	91	0	0	0	14499	0	0	16	6	111	2587	659	263	2	725	1	3377	2552	50	1565	5254	3513	2722	5966	4682	3658	600	2654	230	2	7937	7256	0	1	1092	114	577	1547	155	6000	0	0	69	36421	452	0	79	201	46019	17223	3198	1941	13976	0	20571	1011	0	16384	15824	0	13647	8	0	2077	11248	4664	11279	4278	10068	0	1	325	0	0	0	2725	1125	4	1	0	0	11278	59	0	1	2784	0	172	6715	16	0	4982	2282	16	0	0	0	0	0	0	0	3	0	1	1	1	0	0	61	0	1342	1	0	0	15	514	558	1	0	1	1639	0	20	0	0	0	0	34	1	0	0	0	202	2590	0	234	1563	1	0	0	117	140	244	0	1026	196	135	139	2	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5357_S9	14896	5261	9631	9325	10053	18532	390	5734	0	47	1	646	712	350	13073	0	20081	11011	27513	17696	18140	4744	366	12858	10374	191	24	70	12055	7570	1780	1	2981	8	452	130	7017	27	601	1057	1088	15393	364	1981	0	16010	6231	3	10	151	2	0	1918	9792	4457	809	0	3601	0	70	0	9	0	10786	0	0	1	3	45	2371	67	128	2	1067	68	2559	2072	36	2113	3972	2870	1720	5534	3855	2209	116	1289	137	0	9912	6922	0	4	677	0	373	1651	29	5909	9	0	39	38860	557	0	3	255	50527	14348	21120	13230	7273	0	18674	1222	1	13756	14401	0	12338	1	4	1354	10383	4070	9501	4022	10430	0	1	175	0	1	0	2274	494	4	2	0	1	11557	180	0	2	4047	0	97	1643	15	22	2210	2147	8	0	0	0	0	0	0	2	6	0	0	0	4	0	14	1	9	1115	0	2	0	5	628	24	0	0	0	310	0	44	0	0	0	0	1	2	1	0	0	233	2081	0	27	632	0	2	1	10	51	101	0	1273	9	15	42	0	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5358_S10	13397	11591	6325	8868	13215	17570	282	7432	39	111	0	316	3427	279	18451	0	26596	12577	37204	24283	15761	6603	1536	9530	10921	376	53	7	14608	9680	948	0	503	3	637	453	8279	0	121	968	1625	10290	808	1964	0	9762	8754	1	0	670	0	0	6261	11373	1439	80	0	3954	0	29	0	0	0	11152	0	0	0	9	16	2303	383	214	0	769	20	5833	2348	45	1278	6891	3381	2706	6987	4116	4511	414	2588	25	37	7344	7933	0	14	1451	85	509	685	13	5842	1	0	107	48129	94	0	70	69	17399	12976	1578	735	2357	0	24684	633	0	18235	16156	0	13558	3	1	1968	13716	4853	12560	3907	12848	0	1	313	0	0	0	3264	883	0	1	0	0	10760	64	0	3	2126	0	40	4482	14	1	6000	2223	70	2	0	0	0	1	0	0	1	0	0	1	0	0	0	4	0	1714	0	0	0	0	176	609	0	0	0	1409	0	12	3	0	0	1	0	0	0	1	0	310	4234	0	13	2481	1	1	0	5	166	46	2	760	9	48	2	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5359_S11	13823	6811	8150	9419	9798	17564	364	6137	2	27	1	400	1352	108	13579	0	20618	11019	29419	18353	15333	4806	753	10432	9948	195	54	46	11709	7482	1249	0	1915	17	466	206	6887	16	430	1101	1452	11798	484	1919	1	12495	6626	0	0	231	0	0	2725	9036	3430	504	0	3599	0	64	0	8	0	9342	0	0	2	2	36	2179	121	180	0	997	39	3556	2087	25	1681	4311	2535	1736	5547	3203	2527	196	1510	101	21	8189	6014	0	24	785	2	398	437	18	6360	4	0	60	38804	431	0	0	122	38885	12480	12148	7826	4666	0	19939	858	2	14479	14185	0	11626	2	1	1333	11310	3926	9568	3655	10856	0	2	145	0	1	0	2249	563	4	2	0	0	10471	99	0	3	3147	0	78	2186	5	15	3208	1885	29	0	0	0	1	0	0	0	6	0	0	0	0	0	0	3	1	1409	0	0	0	1	397	124	1	0	0	817	0	22	0	0	0	0	0	1	0	2	0	326	2711	1	19	1273	0	3	0	11	72	147	1	1100	16	24	24	0	186	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5360_S12	13797	10669	7373	10665	13809	18402	272	7715	0	8	2	360	2628	124	17341	1	26619	12995	37293	23088	14753	6453	1655	9413	11041	122	28	6	14515	9507	1065	0	972	5	442	448	7235	7	176	990	2091	10259	769	2126	0	10892	8380	2	2	427	0	0	5070	11626	2063	139	0	3917	0	42	0	1	0	11506	0	1	0	0	39	2770	147	325	0	475	35	5792	2559	19	1104	6303	3278	2327	6915	3919	4017	343	2106	62	33	8089	7544	1	5	1278	0	623	172	8	5880	4	1	56	48124	111	0	6	53	19909	11884	3394	2237	3442	0	24916	655	18	17705	16250	0	13821	1	0	1782	13097	4794	11835	3549	11552	0	2	209	0	0	0	3162	676	1	0	0	0	10538	117	0	2	2127	0	43	3254	4	9	5029	1942	25	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	2	2071	0	0	0	0	97	146	1	0	0	1081	0	42	2	1	0	0	0	0	0	0	0	426	3528	0	14	2447	1	0	0	2	102	65	1	722	2	72	4	0	48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5361_S13	11146	3958	7065	7553	7732	14530	274	4203	0	46	0	321	513	32	10488	1	14711	8608	21595	13157	12974	3201	305	9230	7317	166	14	34	8645	5592	944	0	2060	9	360	93	5107	17	512	856	893	10409	404	1575	0	11525	4365	0	0	115	1	0	1502	7279	3859	480	0	2692	0	45	0	14	0	7849	0	0	1	20	42	1914	48	89	1	874	64	2194	1473	41	1495	2491	2091	1276	3849	2740	1853	121	1097	95	11	6688	4677	0	8	473	0	293	351	27	4619	5	0	38	28669	381	0	0	158	40466	10909	14161	9368	5157	0	14584	799	0	10395	10939	0	9170	5	5	898	8100	3008	7311	3020	8088	0	2	132	1	4	0	1697	366	4	7	1	0	8739	103	0	2	2783	0	78	1350	8	2	1782	1368	2	2	0	0	0	0	0	1	5	0	0	0	0	0	0	1	13	1062	0	1	0	1	284	38	1	0	0	311	0	8	1	0	0	0	0	5	0	0	0	242	1688	0	1	571	0	2	1	26	20	95	0	965	7	11	5	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5362_S14	12667	7132	7676	9246	10052	16111	468	5812	3	25	0	294	1546	128	12956	0	19517	10458	28543	17983	13783	4940	841	9743	8805	159	33	40	11406	7709	1063	0	1267	15	493	168	6711	12	385	930	1244	10122	541	1492	0	11062	6624	1	0	223	0	0	3184	8376	2185	324	0	3461	0	28	0	2	0	9026	0	0	1	0	27	2206	199	188	0	973	8	3364	1855	17	1185	4305	2139	1598	5064	2773	2690	233	1463	58	17	7214	5880	0	14	795	2	568	380	53	5871	3	0	87	35698	187	0	1	102	30822	11682	9580	6928	3967	0	18351	651	1	13727	12018	0	9989	6	4	1451	10440	3711	8539	3179	9755	0	2	154	0	2	0	2128	648	1	0	0	3	9689	133	0	2	2749	0	48	1887	3	3	3624	1600	6	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	3	1305	0	1	0	0	256	119	1	0	0	937	0	38	0	0	0	0	0	2	0	2	0	279	2557	0	28	1428	0	1	0	24	33	89	0	978	8	16	7	0	91	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5363_S15	11842	7969	6683	8532	10586	15466	253	6039	0	22	0	363	1961	156	13815	0	21151	10823	28889	18095	13525	4940	1220	7850	9221	138	66	16	11084	7789	922	0	1107	5	482	301	6118	19	332	893	1343	10096	640	1364	1	10011	6810	0	0	338	0	0	4028	9202	2206	230	0	3157	0	50	0	1	0	8733	0	0	2	0	26	1929	65	152	0	952	24	3935	1891	21	1310	4811	2721	2048	5657	3293	3183	266	1926	50	22	6300	6012	0	10	1053	1	354	458	13	5680	3	0	88	38899	175	0	1	93	23668	10327	5588	3895	2723	0	19706	653	2	14714	13509	0	11643	3	0	1536	10884	3910	9462	3471	10436	0	3	209	0	1	0	2306	675	4	1	0	2	9543	73	0	12	2250	0	120	2595	4	1	4230	1707	8	2	0	0	0	0	0	0	5	0	0	0	1	0	0	3	4	1710	0	0	2	0	185	306	0	0	0	1171	3	3	8	0	0	0	1	3	0	4	0	260	2722	0	27	1563	2	1	1	9	44	95	0	858	5	42	11	1	81	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5364_S16	13236	9167	8063	10078	12323	15849	351	6682	0	5	1	511	2695	117	15563	0	25008	12775	34651	21722	14710	5511	1340	9356	10815	113	64	5	13351	8589	1523	1	760	16	400	279	6324	4	210	1039	2183	9943	681	1116	0	10289	7680	1	0	240	0	0	4010	10548	1947	130	0	3818	0	48	0	1	0	10959	0	0	0	1	118	2441	132	183	0	651	16	4808	2433	33	1421	5685	2803	2416	6675	3908	3236	294	1929	41	12	5801	7089	1	3	1173	0	475	198	17	4931	4	0	70	46081	119	0	14	39	22323	11994	2223	1401	5514	1	23966	674	0	16376	16322	0	13575	2	1	1572	12573	4686	11549	3799	11111	0	1	272	0	2	0	3398	754	2	0	1	1	10197	53	0	4	2553	0	76	1940	0	25	4658	1587	51	0	0	0	0	0	0	1	5	0	0	6	0	0	0	3	2	1851	0	0	2	0	60	376	1	0	0	1042	0	10	6	2	0	0	0	1	0	1	0	397	3105	0	15	1945	22	1	0	8	588	181	0	910	5	10	7	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5365_S17	14079	8090	8740	11111	11243	18654	732	6811	0	21	0	486	1805	329	14597	0	22647	11519	31119	20181	15692	5598	1006	9889	10218	216	40	28	12142	8149	1542	0	1373	11	487	239	7088	8	489	985	1372	11305	582	1725	0	12937	7258	2	0	327	0	1	3419	9533	2711	292	0	3949	0	62	0	6	0	10606	0	1	8	0	51	2056	103	179	1	776	36	4153	2230	80	1509	4959	2683	2057	5827	3401	2923	282	1654	86	8	8137	6564	0	2	921	0	525	586	65	5533	5	0	70	40807	379	0	10	150	34468	13112	8238	5421	4942	0	22379	828	4	15641	15102	1	13196	0	0	1501	11424	4223	10317	3905	10642	0	2	225	0	3	0	2702	647	5	1	0	0	10886	204	0	9	3057	0	53	2446	3	5	3910	1820	15	1	1	0	0	0	0	0	3	0	0	0	2	0	0	8	9	1735	0	0	0	0	250	97	2	0	0	876	0	41	4	0	0	0	0	1	0	3	0	320	3016	1	6	1552	0	3	1	20	69	107	0	958	8	43	11	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
